id,time,appCat.finance
AS14.01,2014-03-21 10:26:32.581,4.012
AS14.01,2014-03-21 10:26:36.594,8.157
AS14.01,2014-03-21 10:26:44.757,6.027
AS14.01,2014-03-21 21:38:12.762,4.007
AS14.01,2014-03-21 21:38:16.769,8.082
AS14.01,2014-03-21 21:38:24.852,14.158
AS14.01,2014-03-21 21:38:41.017,3.094
AS14.01,2014-03-21 21:38:44.117,2.007
AS14.01,2014-03-22 09:13:59.115,7.024
AS14.01,2014-03-22 09:14:06.141,8.025
AS14.01,2014-03-22 09:14:14.167,6.027
AS14.01,2014-03-23 23:54:11.352,23.201
AS14.01,2014-03-23 23:54:35.573,3.006
AS14.01,2014-03-23 23:54:38.581,9.17
AS14.01,2014-03-23 23:54:47.757,8.026
AS14.01,2014-03-24 11:49:27.821,4.008
AS14.01,2014-03-24 11:49:31.829,6.018
AS14.01,2014-03-24 11:49:37.858,5.019
AS14.01,2014-03-24 16:42:12.447,4.011
AS14.01,2014-03-24 16:42:16.460,8.025
AS14.01,2014-03-24 16:42:24.484,7.025
AS14.01,2014-03-25 20:50:06.900,4.009
AS14.01,2014-03-25 20:50:10.914,15.055
AS14.01,2014-03-25 20:50:25.970,20.98
AS14.01,2014-03-25 20:51:34.693,3.01
AS14.01,2014-03-26 12:37:18.519,5.125
AS14.01,2014-03-26 12:37:23.645,11.038
AS14.01,2014-03-26 12:37:34.684,4.012
AS14.01,2014-03-26 21:08:27.187,4.035
AS14.01,2014-03-26 21:08:31.226,8.023
AS14.01,2014-03-26 21:08:39.253,20.098
AS14.01,2014-03-27 19:01:11.236,7.02
AS14.01,2014-03-27 19:01:18.256,13.036
AS14.01,2014-03-27 19:01:31.293,22.163
AS14.01,2014-03-28 00:15:58.984,5.013
AS14.01,2014-03-28 00:16:04.003,15.034
AS14.01,2014-03-28 00:16:19.039,15.775
AS14.01,2014-03-28 18:15:11.434,6.031
AS14.01,2014-03-28 18:15:17.467,20.212
AS14.01,2014-03-28 18:15:37.681,22.091
AS14.01,2014-03-28 18:15:59.773,5.01
AS14.01,2014-03-31 17:38:51.404,8.841
AS14.01,2014-03-31 17:39:17.516,1.203
AS14.01,2014-03-31 17:39:19.635,4.043
AS14.01,2014-03-31 17:52:34.815,6.086
AS14.01,2014-03-31 17:52:40.903,8.027
AS14.01,2014-03-31 17:52:48.930,13.055
AS14.01,2014-04-01 13:00:16.986,3.008
AS14.01,2014-04-01 13:00:19.996,8.025
AS14.01,2014-04-01 13:00:28.023,127.649
AS14.01,2014-04-01 13:02:39.683,2.009
AS14.01,2014-04-01 13:02:41.700,9.028
AS14.01,2014-04-01 13:02:50.730,61.217
AS14.01,2014-04-01 13:04:02.063,2.145
AS14.01,2014-04-01 13:04:04.219,7.023
AS14.01,2014-04-01 13:04:11.243,13.111
AS14.01,2014-04-01 13:07:43.114,3.025
AS14.01,2014-04-01 13:07:46.144,9.03
AS14.01,2014-04-01 13:07:55.176,16.06
AS14.01,2014-04-01 17:51:15.339,72.266
AS14.01,2014-04-01 17:52:28.609,4.011
AS14.01,2014-04-01 19:23:58.812,4.008
AS14.01,2014-04-01 19:24:02.822,7.022
AS14.01,2014-04-01 19:24:09.848,45.966
AS14.01,2014-04-01 19:25:10.084,2.432
AS14.01,2014-04-01 19:25:27.664,2.011
AS14.01,2014-04-01 19:25:29.677,1.002
AS14.01,2014-04-01 19:25:30.681,9.036
AS14.01,2014-04-01 19:25:39.721,56.248
AS14.01,2014-04-01 19:26:35.970,9.035
AS14.01,2014-04-01 19:26:45.009,10.048
AS14.01,2014-04-01 19:26:55.059,3.007
AS14.01,2014-04-01 20:28:53.270,4.01
AS14.01,2014-04-01 20:28:57.282,10.113
AS14.01,2014-04-01 20:29:07.400,8.116
AS14.01,2014-04-01 20:29:27.250,1.826
AS14.01,2014-04-01 20:30:14.605,4.032
AS14.01,2014-04-01 20:30:18.638,2.053
AS14.01,2014-04-01 20:30:20.693,2.058
AS14.01,2014-04-01 22:15:36.214,7.025
AS14.01,2014-04-01 22:15:43.240,9.025
AS14.01,2014-04-01 22:15:52.266,6.021
AS14.01,2014-04-01 22:15:58.289,6.125
AS14.01,2014-04-02 08:55:53.033,6.035
AS14.01,2014-04-02 08:55:59.069,14.099
AS14.01,2014-04-02 08:56:13.170,3.012
AS14.01,2014-04-02 08:56:16.194,1.133
AS14.01,2014-04-02 12:56:58.969,5.149
AS14.01,2014-04-02 12:57:04.119,16.038
AS14.01,2014-04-02 12:57:20.158,8.028
AS14.01,2014-04-02 14:41:22.684,4.012
AS14.01,2014-04-02 14:41:26.697,9.023
AS14.01,2014-04-02 14:41:35.720,82.366
AS14.01,2014-04-02 14:43:14.226,4.011
AS14.01,2014-04-02 14:43:18.237,6.018
AS14.01,2014-04-02 14:43:24.256,5.018
AS14.01,2014-04-02 14:43:31.286,2.007
AS14.01,2014-04-02 20:11:11.484,5.223
AS14.01,2014-04-02 20:11:16.710,10.183
AS14.01,2014-04-02 20:11:26.894,6.017
AS14.01,2014-04-02 20:11:32.921,2.005
AS14.01,2014-04-02 20:11:38.940,58.4
AS14.01,2014-04-03 10:17:45.581,5.009
AS14.01,2014-04-03 10:17:50.592,8.023
AS14.01,2014-04-03 10:17:58.615,63.202
AS14.01,2014-04-07 00:01:30.144,7.354
AS14.01,2014-04-07 00:01:37.499,9.141
AS14.01,2014-04-07 00:01:46.644,17.341
AS14.01,2014-04-07 00:02:03.990,10.22
AS14.01,2014-04-07 00:03:10.355,2.072
AS14.01,2014-04-08 19:22:10.651,4.012
AS14.01,2014-04-08 19:22:14.665,8.022
AS14.01,2014-04-08 19:22:22.690,7.097
AS14.01,2014-04-11 18:31:08.039,22.091
AS14.01,2014-04-11 18:31:32.145,23.078
AS14.01,2014-04-11 18:31:55.233,35.1
AS14.01,2014-04-11 18:32:30.335,3.716
AS14.01,2014-04-11 18:58:18.572,7.102
AS14.01,2014-04-11 19:11:30.720,3.006
AS14.01,2014-04-13 14:55:48.299,5.012
AS14.01,2014-04-13 14:55:53.312,7.02
AS14.01,2014-04-13 14:56:00.334,30.112
AS14.01,2014-04-13 14:56:51.572,3.05
AS14.01,2014-04-13 14:56:54.624,8.135
AS14.01,2014-04-13 14:57:02.760,14.039
AS14.01,2014-04-13 18:17:21.072,3.008
AS14.01,2014-04-13 18:17:24.081,8.028
AS14.01,2014-04-13 18:17:32.114,4.009
AS14.01,2014-04-14 12:21:06.555,4.009
AS14.01,2014-04-14 12:21:10.565,14.04
AS14.01,2014-04-14 12:21:24.607,6.024
AS14.01,2014-04-14 20:20:00.092,4.009
AS14.01,2014-04-14 20:20:04.101,22.077
AS14.01,2014-04-14 20:20:26.180,39.164
AS14.01,2014-04-15 10:51:50.611,4.013
AS14.01,2014-04-15 10:51:54.627,6.016
AS14.01,2014-04-15 10:52:00.644,3.014
AS14.01,2014-04-18 12:03:40.305,4.27
AS14.01,2014-04-18 12:03:44.584,7.017
AS14.01,2014-04-18 12:03:51.601,15.048
AS14.01,2014-04-18 14:36:42.779,15.07
AS14.01,2014-04-18 14:43:06.247,6.03
AS14.01,2014-04-18 14:43:12.279,16.059
AS14.01,2014-04-18 14:43:28.338,55.669
AS14.01,2014-04-19 15:40:56.855,11.248
AS14.01,2014-04-19 15:41:08.105,8.047
AS14.01,2014-04-19 15:41:16.153,7.051
AS14.01,2014-04-19 19:26:38.549,3.006
AS14.01,2014-04-19 19:26:41.556,10.03
AS14.01,2014-04-19 19:26:51.586,56.247
AS14.01,2014-04-20 01:12:53.490,4.45
AS14.01,2014-04-20 01:12:58.178,6.156
AS14.01,2014-04-21 14:28:38.223,14.041
AS14.01,2014-04-21 14:28:52.266,14.209
AS14.01,2014-04-21 14:29:06.476,5.016
AS14.01,2014-04-22 09:11:46.421,5.127
AS14.01,2014-04-22 09:11:51.552,7.026
AS14.01,2014-04-22 09:11:58.579,8.03
AS14.01,2014-04-22 22:01:26.486,4.014
AS14.01,2014-04-22 22:01:30.503,9.244
AS14.01,2014-04-22 22:01:39.747,5.012
AS14.01,2014-04-23 10:40:58.948,3.011
AS14.01,2014-04-23 10:41:01.960,8.02
AS14.01,2014-04-23 10:41:09.983,7.02
AS14.01,2014-04-24 19:59:27.726,3.006
AS14.01,2014-04-24 19:59:30.733,25.073
AS14.01,2014-04-24 19:59:55.806,168.729
AS14.01,2014-04-24 20:02:44.538,9.096
AS14.01,2014-04-24 20:02:53.638,4.033
AS14.01,2014-04-25 12:37:07.846,5.023
AS14.01,2014-04-25 12:37:12.871,8.026
AS14.01,2014-04-25 12:37:20.898,8.022
AS14.01,2014-04-26 10:36:08.306,4.008
AS14.01,2014-04-26 10:36:12.315,8.024
AS14.01,2014-04-26 10:36:20.341,13.219
AS14.01,2014-04-26 10:36:33.565,2.016
AS14.01,2014-04-28 10:15:12.190,3.008
AS14.01,2014-04-28 10:15:15.198,8.016
AS14.01,2014-04-28 10:15:23.216,5.14
AS14.01,2014-04-28 16:58:45.302,4.011
AS14.01,2014-04-28 16:58:49.319,13.091
AS14.01,2014-04-28 16:59:02.420,63.433
AS14.01,2014-04-28 18:21:02.778,5.01
AS14.01,2014-04-28 18:21:07.789,8.031
AS14.01,2014-04-28 18:21:15.822,355.513
AS14.01,2014-04-30 12:45:23.598,6.024
AS14.01,2014-04-30 12:45:29.625,7.031
AS14.01,2014-04-30 12:45:36.657,17.08
AS14.01,2014-04-30 23:58:18.549,6.046
AS14.01,2014-04-30 23:58:24.621,10.033
AS14.01,2014-04-30 23:58:34.658,328.808
AS14.01,2014-05-01 00:04:18.641,4.033
AS14.01,2014-05-01 00:04:22.696,21.073
AS14.01,2014-05-01 00:04:43.770,73.605
AS14.01,2014-05-01 00:06:00.384,3.009
AS14.01,2014-05-01 00:06:03.394,9.064
AS14.01,2014-05-01 00:06:12.470,326.944
AS14.01,2014-05-01 00:12:23.924,1.004
AS14.01,2014-05-01 00:12:24.930,8.02
AS14.01,2014-05-01 00:12:32.950,89.382
AS14.01,2014-05-01 00:15:33.105,2.004
AS14.01,2014-05-01 00:15:35.111,37.154
AS14.01,2014-05-01 00:16:12.266,117.546
AS14.01,2014-05-01 00:18:09.815,3.013
AS14.01,2014-05-01 12:11:46.124,33.13
AS14.01,2014-05-01 12:12:20.260,3.007
AS14.01,2014-05-01 12:12:23.269,7.019
AS14.01,2014-05-01 12:12:30.296,159.539
AS14.01,2014-05-01 12:15:09.842,2.008
AS14.01,2014-05-01 12:56:07.250,5.011
AS14.01,2014-05-01 12:56:12.263,7.021
AS14.01,2014-05-01 12:56:19.286,90.589
AS14.01,2014-05-01 12:58:30.059,2.004
AS14.01,2014-05-01 12:58:32.065,8.027
AS14.01,2014-05-01 12:58:40.092,77.457
AS14.01,2014-05-01 13:01:00.002,2.01
AS14.01,2014-05-01 13:01:02.013,3.01
AS14.01,2014-05-01 13:01:05.026,6.023
AS14.01,2014-05-01 13:12:29.387,3.004
AS14.01,2014-05-01 13:12:32.391,7.021
AS14.01,2014-05-01 13:12:39.417,53.194
AS14.01,2014-05-01 13:28:23.415,33.324
AS14.01,2014-05-01 13:28:56.750,7.261
AS14.01,2014-05-01 13:29:04.017,5.066
AS14.01,2014-05-01 13:29:10.092,2.003
AS14.01,2014-05-01 13:29:12.095,7.057
AS14.01,2014-05-01 13:29:19.160,26.08
AS14.01,2014-05-01 16:21:07.125,12.051
AS14.01,2014-05-01 16:21:19.178,12.033
AS14.01,2014-05-01 16:21:31.213,20.07
AS14.01,2014-05-01 16:21:51.286,2.005
AS14.01,2014-05-01 21:19:45.516,5.011
AS14.01,2014-05-01 21:19:50.528,7.19
AS14.01,2014-05-01 21:19:57.733,12.035
AS14.01,2014-05-01 21:20:09.769,1.906
AS14.01,2014-05-01 21:21:56.144,3.087
AS14.01,2014-05-02 10:42:08.844,4.508
AS14.01,2014-05-02 10:42:58.032,9.511
AS14.01,2014-05-02 10:48:20.625,5.553
AS14.01,2014-05-02 15:20:50.657,6.015
AS14.01,2014-05-02 15:20:56.674,16.149
AS14.01,2014-05-02 15:21:12.825,9.257
AS14.01,2014-05-02 15:21:22.082,1.003
AS14.01,2014-05-02 22:03:32.433,5.014
AS14.01,2014-05-02 22:03:37.448,7.016
AS14.01,2014-05-02 22:03:44.473,90.135
AS14.01,2014-05-02 22:07:07.490,1.001
AS14.01,2014-05-02 22:07:08.494,3.023
AS14.01,2014-05-02 22:07:11.525,13.044
AS14.01,2014-05-02 22:07:24.573,174.702
AS14.01,2014-05-02 22:10:19.279,7.204
AS14.01,2014-05-02 22:10:26.487,122.47
AS14.01,2014-05-02 22:12:28.960,8.019
AS14.01,2014-05-02 22:12:36.982,20.924
AS14.01,2014-05-02 22:16:39.216,9.034
AS14.01,2014-05-02 22:16:48.250,2.007
AS14.01,2014-05-02 22:16:50.259,11.032
AS14.01,2014-05-02 22:17:01.299,220.997
AS14.01,2014-05-02 22:20:42.298,12.046
AS14.01,2014-05-02 22:20:54.345,224.283
AS14.01,2014-05-02 22:24:38.632,1.003
AS14.01,2014-05-02 22:39:10.897,5.018
AS14.01,2014-05-02 22:39:15.917,3.019
AS14.01,2014-05-02 22:39:19.943,7.036
AS14.01,2014-05-02 22:39:26.982,11.063
AS14.01,2014-05-02 22:39:38.049,55.653
AS14.01,2014-05-02 23:06:17.561,3.009
AS14.01,2014-05-03 12:07:28.017,4.009
AS14.01,2014-05-03 12:07:32.028,8.026
AS14.01,2014-05-03 12:07:40.058,41.133
AS14.01,2014-05-03 12:08:22.197,2.14
AS14.01,2014-05-03 12:08:24.342,6.017
AS14.01,2014-05-03 12:08:30.361,221.917
AS14.01,2014-05-03 12:12:12.279,7.044
AS14.01,2014-05-03 12:12:19.328,6.027
AS14.03,2014-03-23 19:19:27.575,36.364
AS14.03,2014-03-24 12:53:38.987,18.885
AS14.03,2014-03-24 13:30:49.549,32.917
AS14.03,2014-03-24 13:32:27.957,0.8
AS14.03,2014-03-24 13:32:47.825,0.731
AS14.03,2014-03-24 13:40:48.894,11.046
AS14.03,2014-03-24 13:42:55.065,20.496
AS14.03,2014-03-24 16:57:41.973,20.342
AS14.03,2014-03-25 09:32:10.878,148.14
AS14.03,2014-03-25 09:35:03.056,248.863
AS14.03,2014-03-25 09:39:30.209,50.54
AS14.03,2014-03-26 16:42:40.948,15.063
AS14.03,2014-03-26 16:42:57.141,65.033
AS14.03,2014-03-26 16:44:22.569,7.045
AS14.03,2014-03-29 19:34:01.825,49.371
AS14.03,2014-03-31 18:25:08.411,25.146
AS14.03,2014-03-31 18:25:35.595,47.326
AS14.03,2014-03-31 18:26:25.082,5.019
AS14.03,2014-04-01 18:47:27.137,58.641
AS14.03,2014-04-02 08:38:04.450,23.106
AS14.03,2014-04-02 18:10:03.283,31.277
AS14.03,2014-04-02 18:32:12.219,11.056
AS14.03,2014-04-03 13:16:08.710,21.27
AS14.03,2014-04-03 13:23:44.367,1.087
AS14.03,2014-04-03 16:57:54.625,15.381
AS14.03,2014-04-03 19:35:15.805,15.096
AS14.03,2014-04-03 22:43:36.019,12.416
AS14.03,2014-04-03 22:44:15.779,0.626
AS14.03,2014-04-03 23:03:23.763,1.095
AS14.03,2014-04-03 23:27:10.845,5.132
AS14.03,2014-04-04 17:34:19.512,47.284
AS14.03,2014-04-07 22:30:51.368,4.087
AS14.03,2014-04-07 22:30:55.482,74.176
AS14.03,2014-04-07 22:55:46.042,0.759
AS14.03,2014-04-07 22:55:59.046,2.057
AS14.03,2014-04-07 22:56:52.980,7.118
AS14.03,2014-04-08 12:44:28.532,27.089
AS14.03,2014-04-09 21:59:46.901,28.57
AS14.03,2014-04-09 22:28:12.463,3.165
AS14.03,2014-04-11 14:11:51.005,17.149
AS14.03,2014-04-14 21:01:33.898,28.19
AS14.03,2014-04-16 11:42:18.431,18.113
AS14.03,2014-04-17 17:50:54.533,141.124
AS14.03,2014-04-17 18:02:59.033,31.452
AS14.03,2014-04-21 12:26:44.910,23.194
AS14.03,2014-04-23 08:59:08.631,40.741
AS14.03,2014-04-23 08:59:57.805,118.382
AS14.03,2014-04-24 07:52:39.142,33.134
AS14.03,2014-04-24 07:56:39.921,19.22
AS14.03,2014-04-25 09:37:50.780,24.0
AS14.03,2014-04-25 09:48:57.842,1.213
AS14.03,2014-04-25 10:13:36.687,5.041
AS14.03,2014-04-25 22:54:08.983,13.049
AS14.03,2014-04-28 18:27:16.223,16.065
AS14.03,2014-04-28 21:21:17.023,12.052
AS14.03,2014-04-29 08:18:51.463,10.169
AS14.03,2014-04-29 12:33:25.433,13.049
AS14.03,2014-04-29 21:53:57.243,99.395
AS14.03,2014-04-29 21:55:55.759,88.316
AS14.03,2014-04-29 21:57:47.799,18.233
AS14.03,2014-04-29 21:59:06.125,9.308
AS14.03,2014-04-29 22:00:40.796,128.976
AS14.03,2014-04-29 22:05:00.842,2.017
AS14.03,2014-04-29 22:05:05.434,95.53
AS14.03,2014-04-29 22:08:03.976,8.618
AS14.03,2014-04-29 22:13:04.918,0.636
AS14.03,2014-04-29 22:36:37.782,1.08
AS14.03,2014-04-29 22:58:06.848,0.871
AS14.03,2014-04-29 22:58:37.454,3.296
AS14.03,2014-05-02 10:39:44.167,18.108
AS14.03,2014-05-02 15:49:44.319,25.116
AS14.03,2014-05-05 12:18:41.022,13.243
AS14.09,2014-03-24 11:14:56.229,18.923
AS14.09,2014-03-24 11:16:09.982,1.073
AS14.09,2014-03-24 11:16:18.881,4.046
AS14.09,2014-03-24 19:39:08.015,29.42
AS14.09,2014-03-24 19:50:30.339,1.03
AS14.09,2014-03-25 13:24:25.085,35.756
AS14.09,2014-03-25 13:25:43.519,1.004
AS14.09,2014-03-25 13:26:10.874,1.011
AS14.09,2014-03-25 16:28:13.477,67.346
AS14.09,2014-03-25 16:29:43.321,1.003
AS14.09,2014-03-26 23:00:48.778,61.349
AS14.09,2014-03-28 22:54:30.191,55.068
AS14.09,2014-03-28 23:35:03.848,1.003
AS14.09,2014-03-30 12:48:56.825,21.601
AS14.09,2014-03-31 23:26:41.369,67.762
AS14.09,2014-03-31 23:28:40.950,28.516
AS14.09,2014-03-31 23:30:26.303,1.004
AS14.09,2014-04-01 14:05:18.710,123.632
AS14.09,2014-04-03 00:37:24.326,21.173
AS14.09,2014-04-03 00:37:52.548,8.048
AS14.09,2014-04-03 00:38:02.614,25.26
AS14.09,2014-04-03 00:38:44.209,42.809
AS14.09,2014-04-04 01:03:17.082,40.731
AS14.09,2014-04-04 18:14:30.289,4.027
AS14.09,2014-04-04 22:47:44.512,3.014
AS14.09,2014-04-06 17:42:17.105,51.71
AS14.09,2014-04-07 12:33:44.894,5.071
AS14.09,2014-04-07 14:10:20.095,71.267
AS14.09,2014-04-08 15:51:39.066,6.067
AS14.09,2014-04-08 15:57:24.450,5.23
AS14.09,2014-04-08 15:59:40.288,126.601
AS14.09,2014-04-08 23:25:19.773,22.293
AS14.09,2014-04-09 23:35:23.608,23.372
AS14.09,2014-04-11 18:20:35.676,23.749
AS14.09,2014-04-15 23:37:41.296,148.776
AS14.09,2014-04-17 22:12:55.671,36.512
AS14.09,2014-04-18 11:36:27.279,25.386
AS14.09,2014-04-18 23:52:51.555,9.087
AS14.09,2014-04-18 23:53:03.694,8.027
AS14.09,2014-04-18 23:57:15.562,37.719
AS14.09,2014-04-21 16:49:00.405,32.886
AS14.09,2014-04-23 09:59:35.378,71.327
AS14.09,2014-04-25 17:03:03.585,47.889
AS14.09,2014-04-26 15:10:18.625,191.111
AS14.09,2014-04-26 15:17:09.427,4.07
AS14.09,2014-04-26 15:19:40.266,8.074
AS14.12,2014-03-31 02:30:14.796,5.019
AS14.12,2014-03-31 02:30:19.816,6.021
AS14.12,2014-04-01 22:09:17.470,6.214
AS14.12,2014-04-01 22:09:23.688,8.022
AS14.12,2014-04-01 22:09:31.713,41.142
AS14.12,2014-04-02 23:26:19.035,4.01
AS14.12,2014-04-02 23:26:23.048,14.034
AS14.12,2014-04-02 23:26:37.082,110.454
AS14.12,2014-04-03 00:31:57.046,4.098
AS14.12,2014-04-03 00:32:01.148,13.089
AS14.12,2014-04-03 00:33:06.655,1.002
AS14.12,2014-04-03 00:33:07.658,10.031
AS14.12,2014-04-03 00:33:17.690,58.167
AS14.12,2014-04-03 00:34:19.891,2.006
AS14.12,2014-04-03 00:34:21.900,10.099
AS14.12,2014-04-03 00:34:32.003,35.128
AS14.12,2014-04-05 21:04:32.105,4.111
AS14.12,2014-04-05 21:04:36.224,6.374
AS14.12,2014-04-05 21:04:42.609,29.126
AS14.12,2014-04-07 13:26:03.095,13.051
AS14.12,2014-04-07 13:26:16.154,3.215
AS14.12,2014-04-07 21:12:39.457,3.007
AS14.12,2014-04-07 21:12:42.473,12.036
AS14.12,2014-04-07 21:12:54.513,18.07
AS14.12,2014-04-08 16:57:25.760,4.013
AS14.12,2014-04-08 16:57:29.775,21.318
AS14.12,2014-04-08 16:57:51.094,170.79
AS14.12,2014-04-09 19:42:51.841,13.039
AS14.12,2014-04-09 19:43:04.881,13.037
AS14.12,2014-04-09 19:43:17.918,12.042
AS14.12,2014-04-14 18:37:56.986,5.026
AS14.12,2014-04-14 18:38:02.013,12.037
AS14.12,2014-04-14 18:38:14.051,5.018
AS14.12,2014-04-15 13:07:51.305,6.016
AS14.12,2014-04-15 13:07:57.322,4.011
AS14.12,2014-04-15 19:31:56.410,4.012
AS14.12,2014-04-15 19:32:00.423,14.248
AS14.12,2014-04-15 21:59:19.970,3.009
AS14.12,2014-04-15 21:59:22.979,9.026
AS14.12,2014-04-17 22:13:42.305,5.253
AS14.12,2014-04-17 22:13:47.559,12.213
AS14.12,2014-04-17 22:13:59.775,32.302
AS14.12,2014-04-18 17:47:38.496,7.261
AS14.12,2014-04-18 17:47:45.759,2.003
AS14.12,2014-04-22 14:44:32.605,5.065
AS14.12,2014-04-22 14:44:37.671,21.065
AS14.12,2014-04-22 14:44:58.736,9.023
AS14.12,2014-04-24 13:34:15.282,3.007
AS14.12,2014-04-24 13:34:18.290,8.021
AS14.12,2014-04-24 13:34:26.312,56.168
AS14.12,2014-04-24 13:35:28.815,2.005
AS14.12,2014-04-24 13:35:30.822,7.014
AS14.12,2014-04-24 13:35:37.838,33.114
AS14.12,2014-04-25 11:22:39.881,5.016
AS14.12,2014-04-25 11:22:44.898,12.041
AS14.12,2014-04-25 11:22:56.940,61.213
AS14.12,2014-04-28 22:20:55.055,4.011
AS14.12,2014-04-28 22:20:59.071,11.031
AS14.12,2014-04-28 22:21:10.104,48.147
AS14.12,2014-05-01 16:31:26.690,12.044
AS14.12,2014-05-01 16:31:38.734,7.106
AS14.12,2014-05-01 16:31:45.842,45.168
AS14.12,2014-05-01 16:32:50.095,3.006
AS14.12,2014-05-01 16:32:53.102,7.249
AS14.12,2014-05-01 16:33:00.355,38.167
AS14.12,2014-05-01 16:45:12.482,3.006
AS14.12,2014-05-01 16:45:15.490,5.017
AS14.12,2014-05-01 18:20:30.411,9.032
AS14.12,2014-05-01 18:20:39.444,4.144
AS14.12,2014-05-01 18:26:38.780,12.045
AS14.12,2014-05-01 18:26:50.826,12.028
AS14.12,2014-05-01 18:27:02.855,25.113
AS14.12,2014-05-01 21:20:45.977,12.175
AS14.12,2014-05-01 21:20:58.154,4.125
AS14.12,2014-05-01 21:21:02.279,11.584
AS14.12,2014-05-01 21:21:15.878,9.047
